date,longitude,latitude,garagecode,occupancy rate
2014-06-02,10.206,56.15561,BUSGADEHUSET,0.6786858974358974
2014-06-02,10.20818,56.15441,SALLING,0.4764880952380952
2014-06-02,10.21149,56.14952,KALKVAERKSVEJ,0.25783730158730156
2014-06-02,10.21284,56.16184,NORREPORT,0.0
2014-06-02,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-03,10.197,56.1527,SCANDCENTER,0.5051747311827957
2014-06-03,10.2049,56.15679,MAGASIN,0.27947916666666667
2014-06-03,10.20596,56.14951,BRUUNS,0.23920076949982508
2014-06-03,10.206,56.15561,BUSGADEHUSET,0.7203525641025642
2014-06-03,10.20818,56.15441,SALLING,0.6209523809523809
2014-06-03,10.21149,56.14952,KALKVAERKSVEJ,0.27678571428571425
2014-06-03,10.21284,56.16184,NORREPORT,0.0
2014-06-03,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-04,10.197,56.1527,SCANDCENTER,0.48715437788018434
2014-06-04,10.2049,56.15679,MAGASIN,0.2872321428571429
2014-06-04,10.20596,56.14951,BRUUNS,0.22166841552990554
2014-06-04,10.206,56.15561,BUSGADEHUSET,0.7414835164835164
2014-06-04,10.20818,56.15441,SALLING,0.36576530612244895
2014-06-04,10.21149,56.14952,KALKVAERKSVEJ,0.28860544217687073
2014-06-04,10.21284,56.16184,NORREPORT,0.0
2014-06-04,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-14,10.197,56.1527,SCANDCENTER,0.2
2014-06-14,10.2049,56.15679,MAGASIN,0.2125
2014-06-14,10.20596,56.14951,BRUUNS,0.1374606505771248
2014-06-14,10.206,56.15561,BUSGADEHUSET,1.1692307692307693
2014-06-14,10.20818,56.15441,SALLING,0.4457142857142857
2014-06-14,10.21149,56.14952,KALKVAERKSVEJ,0.1428571428571428
2014-06-14,10.21284,56.16184,NORREPORT,0.0
2014-06-14,10.21353,56.15659,SKOLEBAKKEN,0.0
2014-06-15,10.197,56.1527,SCANDCENTER,0.15059677419354833
2014-06-15,10.2049,56.15679,MAGASIN,0.11410000000000001
